time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
10331281, -0.067038, +0.272939, +9.749189, -0.027670, -0.014899, +0.003193, +68.982422, +1.075781, +37.898438, -0.035892, +0.165105, +9.554541, -0.046426, -0.006109, +0.042761, +53.186000, -37.294000, +56.202000,
10432371, -0.129287, +0.287304, +9.739612, -0.023413, -0.014899, +0.002128, +69.339844, +1.434375, +37.553906, -0.093320, +0.136391, +9.626325, -0.043982, -0.007330, +0.037874, +53.476000, -36.946000, +55.854000,
10533437, +0.019154, +0.239420, +9.509769, -0.027670, -0.015963, -0.001064, +70.054688, +2.151562, +36.520313, -0.057428, +0.215354, +9.583255, -0.043982, -0.004887, +0.041539, +53.766000, -37.004000, +56.376000,
10634520, -0.014365, +0.239420, +9.739612, -0.023413, -0.012771, +0.001064, +67.731445, +1.255078, +36.348047, -0.028714, +0.150748, +9.633504, -0.046426, -0.007330, +0.039095, +53.476000, -36.018000, +56.086000,
10735594, -0.177171, +0.220267, +9.773131, -0.027670, -0.014899, +0.003193, +67.374023, +1.255078, +37.037109, -0.050249, +0.179462, +9.619147, -0.041539, -0.009774, +0.041539, +53.534000, -37.352000, +56.260000,
10836684, -0.071826, +0.306458, +9.629479, -0.025541, -0.012771, +0.002128, +67.374023, +1.255078, +37.037109, -0.064606, +0.136391, +9.726824, -0.045204, -0.014661, +0.039095, +53.534000, -36.946000, +56.666000,
10937775, -0.052672, +0.272939, +9.720459, -0.026606, -0.011706, +0.001064, +68.446289, +3.406641, +35.314453, -0.021535, +0.179462, +9.561719, -0.043982, -0.003665, +0.040317, +52.780000, -36.946000, +55.332000,
11038890, -0.047884, +0.196325, +9.667786, -0.027670, -0.009578, +0.001064, +67.910156, +0.717187, +36.175781, -0.093320, +0.086142, +9.633504, -0.040317, -0.008552, +0.034208, +52.954000, -37.120000, +56.086000,
11139973, -0.014365, +0.263362, +9.672575, -0.027670, -0.011706, +0.001064, +68.267578, +0.358594, +36.864844, -0.021535, +0.100499, +9.576076, -0.041539, -0.004887, +0.037874, +53.302000, -36.656000, +55.274000,
11241053, -0.100556, +0.229843, +9.773131, -0.027670, -0.011706, +0.003193, +68.267578, +0.358594, +36.864844, -0.021535, +0.114855, +9.540184, -0.048869, -0.007330, +0.035430, +52.722000, -36.656000, +55.332000,
11342102, +0.043096, +0.268151, +9.725247, -0.026606, -0.015963, +0.000000, +69.339844, +0.717187, +38.242969, -0.050249, +0.129212, +9.576076, -0.042761, -0.006109, +0.036652, +52.548000, -36.772000, +55.680000,
11443175, -0.052672, +0.268151, +9.639056, -0.028734, -0.011706, +0.000000, +69.339844, +0.717187, +38.242969, -0.071785, +0.078963, +9.698110, -0.043982, -0.008552, +0.030543, +53.128000, -37.526000, +55.796000,
11544235, -0.019154, +0.277727, +9.768343, -0.025541, -0.009578, +0.004257, +69.339844, +0.717187, +38.242969, -0.057428, +0.093320, +9.590433, -0.052534, -0.006109, +0.036652, +53.302000, -36.946000, +55.970000,
11645308, -0.086191, +0.215478, +9.739612, -0.025541, -0.013835, +0.002128, +69.339844, +1.792969, +36.520313, -0.107677, +0.100499, +9.611968, -0.034208, -0.009774, +0.042761, +53.360000, -37.294000, +55.970000,
